order_id,customer_id,customer_country,product_id,product_category,product_price,quantity,order_date
1,3309,Chile,3743,Deportes,489.71,3,2024-12-25
2,3138,Perú,2027,Hogar,649.52,2,2024-06-26
3,3282,México,2620,Ropa,483.59,8,2023-04-14
4,4697,Chile,3697,Tecnología,579.27,6,2023-07-07
5,2893,México,2773,Mascotas,21.34,9,2023-08-30
6,2986,España,3836,Mascotas,225.79,9,2024-12-14
7,2103,Ecuador,3161,Deportes,137.48,6,2024-03-23
8,4442,Perú,3957,Mascotas,475.6,5,2023-04-10
9,1852,Colombia,3475,Belleza,149.27,6,2023-04-30
10,2492,Chile,2509,Hogar,108.33,7,2023-10-20
11,4267,Ecuador,2371,Ropa,173.47,7,2023-07-02
12,4043,España,2473,Belleza,145.26,8,2023-08-28
13,3669,España,2789,Ropa,141.51,5,2023-03-04
14,1809,España,3095,Tecnología,291.71,6,2024-04-16
15,3996,Ecuador,2513,Tecnología,319.85,4,2023-11-17
16,1375,Argentina,3756,Juguetería,72.29,5,2024-10-04
17,3910,Argentina,2542,Ropa,508.61,8,2024-08-08
18,2134,México,3356,Belleza,83.4,2,2023-09-17
19,3588,México,3587,Juguetería,236.51,8,2024-07-22
20,1353,Ecuador,2146,Deportes,203.91,9,2023-06-21
21,2375,México,3433,Mascotas,667.25,1,2023-06-26
22,2839,Ecuador,3946,Mascotas,571.46,2,2023-04-12
23,3979,Chile,3749,Tecnología,513.31,4,2024-08-09
24,3642,Perú,3209,Mascotas,578.05,4,2023-06-30
25,2840,Colombia,2883,Deportes,539.59,6,2023-07-15
26,1786,Chile,2262,Deportes,231.94,2,2024-04-30
27,3448,Colombia,3683,Belleza,322.32,9,2023-06-28
28,1020,Colombia,3802,Belleza,673.09,7,2024-10-21
29,4687,Colombia,2153,Belleza,54.24,9,2024-09-05
30,4433,Ecuador,3691,Juguetería,658.06,6,2023-02-18
31,4514,Chile,3585,Tecnología,265.41,9,2024-01-21
32,1802,Ecuador,2852,Ropa,507.65,8,2023-09-16
33,1653,Chile,3454,Juguetería,178.7,6,2023-08-07
34,2999,Perú,3410,Hogar,43.07,3,2023-10-31
35,1360,Perú,2509,Deportes,157.06,7,2023-02-07
36,3953,España,3911,Ropa,471.42,9,2024-06-07
37,4842,Chile,3944,Hogar,168.21,8,2024-08-13
38,2336,Chile,2545,Deportes,397.75,1,2023-05-30
39,1900,México,2756,Deportes,562.56,2,2024-02-22
40,3992,España,3085,Juguetería,196.38,8,2023-08-29
41,1567,Ecuador,2511,Tecnología,24.19,9,2024-12-08
42,4065,México,2165,Ropa,649.4,5,2023-04-09
43,1871,Perú,2302,Belleza,569.85,7,2024-06-14
44,2519,Perú,3983,Deportes,387.56,3,2024-09-09
45,2760,Chile,3108,Deportes,116.58,6,2024-12-25
46,3879,España,3713,Mascotas,641.39,9,2024-06-11
47,1359,Ecuador,2328,Deportes,72.39,8,2024-03-17
48,2453,Argentina,2083,Belleza,143.65,1,2023-08-15
49,3187,Perú,3497,Tecnología,534.14,3,2024-07-17
50,2039,Colombia,2916,Tecnología,665.19,9,2024-02-13
51,4459,Ecuador,2837,Mascotas,611.46,4,2024-04-25
52,4206,Perú,3707,Tecnología,366.65,1,2024-09-25
53,2238,Ecuador,2579,Mascotas,425.14,5,2023-04-15
54,3786,México,2393,Deportes,676.29,1,2024-04-26
55,3914,Ecuador,3396,Hogar,106.32,7,2024-08-07
56,4090,Colombia,3820,Mascotas,402.24,7,2023-04-05
57,3813,Argentina,3644,Belleza,479.27,1,2023-02-06
58,3310,México,3762,Deportes,478.59,8,2023-10-14
59,1551,Chile,2881,Juguetería,626.31,8,2023-06-10
60,2548,Ecuador,2356,Juguetería,331.79,5,2024-07-04
61,3999,Colombia,3589,Mascotas,544.35,1,2024-11-14
62,1844,México,3712,Mascotas,164.16,2,2024-05-30
63,2721,Chile,2767,Juguetería,548.28,4,2024-04-11
64,3423,Argentina,2351,Deportes,618.55,6,2023-05-01
65,1507,Perú,2308,Tecnología,599.36,8,2023-04-20
66,3188,España,2149,Belleza,36.08,8,2024-09-05
67,2581,Ecuador,3108,Hogar,575.23,5,2024-01-15
68,4751,Colombia,2955,Juguetería,499.25,1,2024-09-05
69,4654,México,2083,Juguetería,624.19,2,2023-06-16
70,2156,España,3391,Hogar,266.59,9,2024-05-08
71,2289,Ecuador,2392,Ropa,41.15,5,2024-02-20
72,2333,Argentina,3571,Mascotas,247.48,3,2023-03-07
73,2059,Ecuador,3758,Mascotas,204.55,8,2024-07-31
74,3598,España,3725,Belleza,613.39,1,2023-03-12
75,3669,Colombia,3536,Mascotas,546.93,5,2024-08-06
76,2616,Chile,2523,Tecnología,509.19,7,2024-04-05
77,4137,España,3369,Juguetería,57.79,2,2023-10-21
78,4216,España,2149,Mascotas,570.12,7,2023-08-07
79,4306,Argentina,3235,Hogar,104.73,3,2024-12-05
80,4393,Perú,3818,Juguetería,548.0,6,2024-10-05
81,2994,México,3647,Deportes,528.98,7,2024-05-11
82,1840,Colombia,2129,Belleza,25.25,2,2024-05-16
83,2753,México,2808,Juguetería,10.35,6,2023-06-22
84,3564,Perú,2564,Tecnología,430.56,7,2024-05-07
85,1329,Colombia,2771,Deportes,642.15,4,2024-06-22
86,2571,España,2253,Belleza,260.03,4,2024-09-04
87,3159,Colombia,3095,Juguetería,440.54,9,2023-11-29
88,2878,Ecuador,3439,Belleza,461.46,2,2023-05-23
89,3821,Chile,2251,Hogar,315.75,1,2024-12-06
90,1981,Argentina,3857,Deportes,168.83,3,2023-10-18
91,4205,Chile,2010,Ropa,356.83,6,2023-02-07
92,4765,Argentina,3779,Ropa,229.82,3,2024-05-05
93,3878,México,2171,Mascotas,199.0,3,2024-10-23
94,2651,Argentina,3679,Ropa,561.9,4,2023-09-05
95,3156,Argentina,2885,Belleza,500.49,6,2023-09-01
96,2060,Colombia,3755,Hogar,109.87,1,2023-02-17
